		B-Baseline
1224.79	293.859	40.437697608915215
1226.35	293.838	40.41669760891526
1227.92	293.495	40.07369760891524
1229.48	292.626	39.20469760891521
1231.04	291.838	38.41669760891526
1232.6	290.546	37.12469760891523
1234.16	292.283	38.86169760891525
1235.73	295.192	41.77069760891524
1237.29	293.434	40.01269760891526
1238.85	299.98	46.55869760891525
1240.4	303.535	50.11369760891526
1241.96	306.343	52.92169760891525
1243.52	313.656	60.23469760891524
1245.08	319.252	65.83069760891524
1246.64	318.869	65.44769760891526
1248.19	326.364	72.94269760891521
1249.75	328.283	74.86169760891525
1251.31	332.263	78.84169760891521
1252.86	333.111	79.68969760891522
1254.42	333.152	79.73069760891522
1255.97	327.919	74.49769760891522
1257.53	324.647	71.22569760891523
1259.08	317.212	63.790697608915224
1260.64	310.465	57.04369760891521
1262.19	305.495	52.07369760891524
1263.74	303.535	50.11369760891526
1265.29	300.242	46.82069760891525
1266.85	297.374	43.95269760891526
1268.4	299.192	45.77069760891524
1269.95	301.192	47.77069760891524
1271.5	298.707	45.28569760891523
1273.05	300.566	47.14469760891521
1274.6	302.647	49.225697608915226
1276.15	305.757	52.33569760891524
1277.7	310.465	57.04369760891521
1279.25	314.121	60.699697608915216
1280.79	314.202	60.78069760891523
1282.34	316.444	63.02269760891525
1283.89	313.152	59.73069760891522
1285.43	314.788	61.366697608915246
1286.98	316.546	63.12469760891523
1288.53	317.899	64.47769760891524
1290.07	316.848	63.42669760891525
1291.62	320.101	66.67969760891523
1293.16	320.606	67.18469760891523
1294.71	327.172	73.75069760891526
1296.25	327.919	74.49769760891522
1297.79	329.03	75.60869760891521
1299.34	332.303	78.88169760891523
1300.88	337.859	84.43769760891522
1302.42	341.919	88.49769760891522
1303.96	347.455	94.03369760891522
1305.5	352.444	99.02269760891525
1307.04	352.687	99.26569760891525
1308.58	351.98	98.55869760891525
1310.12	344.889	91.46769760891524
1311.66	339.454	86.03269760891524
1313.2	331.677	78.25569760891526
1314.74	330.222	76.80069760891521
1316.28	329.192	75.77069760891524
1317.81	325.273	71.85169760891526
1319.35	325.152	71.73069760891522
1320.89	325.252	71.83069760891524
1322.42	327.919	74.49769760891522
1323.96	330.444	77.02269760891525
1325.5	336.061	82.63969760891521
1327.03	342.768	89.3466976089152
1328.56	349.111	95.68969760891522
1330.1	356.95	103.52869760891522
1331.63	359.454	106.03269760891524
1333.17	366.02	112.59869760891522
1334.7	372.0	118.57869760891523
1336.23	373.374	119.95269760891526
1337.76	371.354	117.93269760891522
1339.3	375.939	122.51769760891526
1340.83	381.778	128.35669760891525
1342.36	382.788	129.36669760891525
1343.89	384.121	130.69969760891522
1345.42	382.606	129.18469760891523
1346.95	386.505	133.08369760891523
1348.48	387.818	134.39669760891522
1350.0	385.717	132.29569760891522
1351.53	384.849	131.42769760891522
1353.06	379.616	126.19469760891522
1354.59	377.616	124.19469760891522
1356.11	372.707	119.28569760891523
1357.64	367.111	113.68969760891522
1359.17	361.838	108.41669760891526
1360.69	359.273	105.85169760891526
1362.22	358.0	104.57869760891523
1363.74	359.01	105.58869760891523
1365.26	363.252	109.83069760891524
1366.79	367.657	114.23569760891522
1368.31	371.192	117.77069760891524
1369.83	377.737	124.31569760891526
1371.36	379.737	126.31569760891526
1372.88	376.889	123.46769760891524
1374.4	372.626	119.20469760891521
1375.92	364.384	110.96269760891525
1377.44	356.344	102.92269760891523
1378.96	345.899	92.47769760891524
1380.48	339.677	86.25569760891526
1382.0	331.818	78.39669760891522
1383.52	328.626	75.20469760891521
1385.04	325.818	72.39669760891522
1386.56	322.424	69.00269760891521
1388.07	320.929	67.50769760891521
1389.59	318.505	65.08369760891523
1391.11	321.273	67.85169760891526
1392.62	319.98	66.55869760891525
1394.14	322.505	69.08369760891523
1395.66	321.192	67.77069760891524
1397.17	323.434	70.01269760891526
1398.69	324.949	71.52769760891525
1400.2	323.535	70.11369760891526
1401.71	326.02	72.59869760891522
1403.23	325.212	71.79069760891522
1404.74	329.293	75.87169760891524
1406.25	328.101	74.67969760891523
1407.76	329.677	76.25569760891526
1409.28	329.354	75.93269760891522
1410.79	330.0	76.57869760891523
1412.3	327.152	73.73069760891522
1413.81	324.849	71.42769760891522
1415.32	321.333	67.91169760891526
1416.83	319.192	65.77069760891524
1418.34	314.788	61.366697608915246
1419.84	310.202	56.78069760891523
1421.35	307.354	53.93269760891522
1422.86	306.949	53.52769760891525
1424.37	304.101	50.679697608915234
1425.88	304.687	51.26569760891525
